,City,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
471,bilibino,68.0546,166.4372,26.38,78,32,2.06
472,abu zabad,12.35,29.25,82.69,53,79,8.23
473,syracuse,37.0881,15.2792,48.45,69,6,7.67
474,saint john,45.2727,-66.0677,42.03,100,100,19.57
475,launceston,-41.45,147.1667,64.29,46,13,20.71
476,amnat charoen,15.9167,104.75,91.26,41,31,6.24
477,cocorit,27.5833,-109.9667,73.0,40,73,6.49
478,nangong,37.3581,115.3744,85.06,10,0,12.91
479,maltahohe,-24.8333,16.9833,55.0,48,1,5.41
480,wynyard,-41.0,145.7167,59.97,53,24,13.31
481,tambovka,50.0969,128.0489,60.64,43,100,10.04
482,umm kaddadah,13.6017,26.6876,80.62,15,67,5.84
483,rondonopolis,-16.4708,-54.6356,68.83,86,13,2.01
484,yeovil,50.9416,-2.6321,44.46,90,76,1.01
485,kirkwall,58.9848,-2.9587,41.05,93,20,6.91
486,mount gambier,-37.8333,140.7667,62.51,59,75,13.8
487,gustavo diaz ordaz,26.2333,-98.5833,75.72,84,76,5.99
488,acapulco,16.8634,-99.8901,79.99,65,63,5.55
489,de land,29.0283,-81.3031,57.79,82,0,0.0
490,rancho santa margarita,33.6409,-117.6031,56.12,85,5,3.0
491,santiago del estero,-27.7951,-64.2615,71.01,53,93,9.86
492,usinsk,65.9939,57.5281,25.52,86,100,16.4
493,kaeo,-35.1,173.7833,70.32,91,45,11.03
494,san quintin,30.4833,-115.95,60.17,85,8,14.61
495,pasni,25.2631,63.471,80.78,73,1,3.56
496,cortez,37.3489,-108.5859,58.59,19,73,13.67
497,maniitsoq,65.4167,-52.9,7.81,82,100,5.64
498,half moon bay,37.4636,-122.4286,51.98,80,75,12.66
499,sindor,62.8629,51.8905,33.33,98,100,5.53
500,ubinskoye,55.3068,79.6802,44.49,52,100,6.53
501,gao,16.6362,1.637,82.92,9,46,6.08
502,bairiki,1.3292,172.9752,86.0,74,20,9.22
503,sosnovo-ozerskoye,52.5249,111.5418,37.72,30,31,18.37
504,nova olinda do norte,-3.8881,-59.0942,73.15,98,100,0.98
505,nechi,8.0942,-74.7757,71.26,97,98,2.01
506,kyra,49.5776,111.9753,43.7,28,100,16.51
507,vigrestad,58.5667,5.7,40.32,62,11,4.72
508,rundu,-17.9333,19.7667,56.01,61,96,6.11
509,jibuti,11.5,42.5,79.45,65,31,21.59
510,hit,33.6416,42.8251,71.11,32,89,21.59
511,ekibastuz,51.6667,75.3667,55.31,50,96,13.8
512,gboko,7.3179,8.9951,75.0,82,86,4.97
513,nizhniy kuranakh,58.8353,125.4869,30.65,62,100,8.63
514,marysville,48.0518,-122.1771,43.0,78,0,6.91
515,vrangel,42.7297,133.0839,49.37,79,15,6.69
516,samarai,-10.6167,150.6667,83.8,72,100,16.37
517,dmitriyevskaya,45.6564,40.7653,52.05,93,100,12.93
518,ayagoz,47.9714,80.4392,51.73,21,73,9.26
519,bac lieu,9.285,105.7244,89.42,56,50,19.22
520,necochea,-38.5473,-58.7368,60.53,70,100,9.44
521,segbwema,7.9967,-10.9496,74.17,97,88,1.19
522,ondjiva,-17.0667,15.7333,61.5,53,100,7.09
523,fukue,32.6881,128.8419,73.76,31,75,11.5
524,kamenka,51.3223,42.7678,58.82,63,99,10.11
525,port-cartier,50.0334,-66.8654,31.75,98,100,23.0
526,emerald,-23.5333,148.1667,89.74,29,15,8.05
527,marzuq,14.4,46.4667,79.16,17,1,5.26
528,bluefields,12.0137,-83.7635,78.44,81,84,8.08
529,boende,-0.2167,20.8667,70.56,99,100,1.72
530,broken hill,-31.95,141.4333,65.91,52,0,8.05
531,north myrtle beach,33.816,-78.68,47.19,76,0,6.35
532,bandiagara,14.3501,-3.6104,76.8,11,99,5.46
533,havre-saint-pierre,50.2334,-63.5986,32.36,100,100,26.46
534,auraiya,26.4667,79.5167,105.37,10,0,7.99
535,mayo,38.8876,-76.5119,44.28,59,0,14.97
536,kwekwe,-18.9281,29.8149,57.2,83,97,9.62
537,rawson,-43.3002,-65.1023,60.62,40,99,8.34
538,stettler,52.3168,-112.7186,28.15,100,100,19.57
539,fort nelson,58.8053,-122.7002,26.19,46,20,2.3
540,chumikan,54.7183,135.315,31.8,96,100,6.98
541,praia,14.9215,-23.5087,68.54,83,20,10.36
542,richards bay,-28.783,32.0377,61.99,85,3,4.47
543,poum,-20.2333,164.0167,78.58,78,32,8.84
544,magrath,49.4167,-112.8686,40.77,33,100,23.02
545,port augusta,-32.5,137.7667,71.71,50,65,6.42
546,kovdor,67.5662,30.4758,36.19,92,100,3.76
547,grammichele,37.2123,14.6397,44.74,77,25,3.51
548,maragogi,-9.0122,-35.2225,76.46,87,14,4.65
549,poddorye,57.4695,31.1156,41.27,81,23,9.33
550,labuan,5.2767,115.2417,87.1,70,20,3.44
551,bayji,34.9311,43.487,73.31,30,94,16.15
552,estevan,49.1334,-102.9842,32.13,80,100,11.5
553,maebaru,33.55,130.2,74.48,35,1,6.73
554,antofagasta,-23.65,-70.4,60.08,86,77,3.83
555,terney,45.0503,136.6092,58.15,58,17,16.69
556,pacific grove,36.6177,-121.9166,50.81,84,99,1.99
557,coaldale,49.7167,-112.6185,40.19,36,100,29.93
558,choix,26.7092,-108.3219,75.38,38,75,2.33
559,hokitika,-42.7167,170.9667,63.07,95,100,10.67
560,wagar,16.1525,36.2032,94.32,21,7,5.32
561,samana,19.2056,-69.3369,73.62,89,37,3.38
562,batagay,67.6333,134.6333,30.45,84,85,3.09
563,aripuana,-9.1667,-60.6333,72.75,97,90,0.36
564,mabaruma,8.2,-59.7833,71.74,93,57,2.28
565,gorontalo,0.5412,123.0595,86.88,69,65,4.21
